word,RT,drift_score
अर्जी,710.871875024939,0.5977943539619446
अर्थ,591.719354831223,0.5165036916732788
अर्थव्यवस्था,798.736666658986,0.3111646771430969
अर्थशास्त्री,856.769696956895,0.3637627959251404
अर्पण,756.574999994957,0.4702154397964477
अलंकार,641.580000025535,0.5012403726577759
अलकनंदा,950.337500005733,0.543997585773468
अलका,821.82000003712,0.664782702922821
अलगाव,848.228571449222,0.4455092549324035
अलगाववाद,1258.30869570771,0.3165242075920105
अलबत्ता,907.152631598476,0.7056868076324463
अलविदा,668.316666649697,0.5961786508560181
अल्प,690.562962971628,0.5820656418800354
अल्पसंख्यक,817.703030302761,0.3896092772483825
अल्लाह,695.303225797732,0.2657617330551147
अल्सर,864.594736849754,0.5151539444923401
अवगुण,721.287878818256,0.442805528640747
अवज्ञा,705.96500000431,0.6974747180938721
अवतरण,821.183333329624,0.3418444991111755
अवतार,678.972000008901,0.4989590644836426
अवधारणा,840.888888894783,0.3947299718856811
अवनति,916.953846148058,0.4472522139549255
अवमानना,1215.48461541307,0.3666290640830993
अवरुद्ध,750.572413792452,0.6528838872909546
अवलोकन,897.111111139439,0.5824023485183716
अवाज,634.665517256394,0.5335691571235657
अविलंब,935.870967791904,0.5236949920654297
अविश्वास,959.194594586023,0.6791407465934753
अविष्कार,726.221428550514,0.3982863426208496
अवैज्ञानिक,849.996969682956,0.4803049564361572
अव्यक्त,901.673684201657,0.4747726321220398
अव्यवस्था,895.156666650996,0.5372080206871033
अव्वल,702.921428576004,0.588384747505188
अशक्त,868.596000010897,0.6793379187583923
अशांत,767.442857156019,0.4594041109085083
अश्रु,763.917857183185,0.4266413450241089
अश्रुधारा,876.573913043112,0.405645489692688
अश्लील,674.356249981225,0.4855630993843078
अश्वमेध,959.773076918549,0.512465238571167
अष्ट,765.196774152108,0.4746631383895874
अष्टांग,761.751999983396,0.3744076490402221
असंवेदनशीलता,1083.20882351228,0.3307204842567444
असत्य,774.658064514969,0.4385979175567627
असपताल,1061.70555557593,0.4815966486930847
असफलता,726.077777798382,0.3940586447715759
असभ्य,758.355172435303,0.3226295113563537
असमंजस,833.422222209622,0.6237708330154419
असमय,856.467741984664,0.5813608169555664
असरदार,741.670000006957,0.5806734561920166
असलियत,738.267857144749,0.3920194506645202
असहयोग,723.886206903326,0.5521665811538696
असहिष्णु,961.195238110033,0.4420998096466064
असाध्य,920.15217391745,0.4500814080238342
असामाजिक,1037.61562499938,0.5129193067550659
असामान्य,770.451851855334,0.4411259293556213
असिस्टेंट,843.376923063094,0.564832329750061
असीम,782.44615386023,0.5480518937110901
असुर,689.296969688106,0.4029504060745239
असुरक्षा,716.078571442881,0.4021520614624023
अस्तित्व,706.085714287873,0.4567893743515014
अस्थायी,774.278124981662,0.6195096969604492
अस्थिर,794.593333354183,0.5020269155502319
अस्थिरता,853.493548382472,0.4192614555358886
अस्पतालों,682.768749993562,0.2687113881111145
अस्पष्ट,740.454545461164,0.436174988746643
अस्वीकार्य,727.92068964251,0.3384943008422851
अस्सी,699.753333341152,0.5966591835021973
अहंकार,685.440625016927,0.3568185567855835
अहंकारी,704.64516129036,0.3836637735366821
अहम,666.634482763924,0.4031269550323486
अहसान,814.465217389237,0.5159890055656433
अाज,1010.19166666038,0.8513005971908569
आँख,574.39354840215,0.3741527795791626
आंकलन,829.870967731946,0.4958330988883972
आंखे,580.680645152573,0.4021068811416626
आंगन,654.513793114902,0.5180126428604126
आंटी,585.640740721478,0.4533113241195678
आंतकवाद,694.632258059277,0.3959829807281494
आंतकवादी,748.753333316311,0.3185611963272095
आंदोलनकारी,804.52058824325,0.4757088422775268
आंदोलित,736.095833316911,0.4552947282791137
आंधी,704.201492550589,0.5499967336654663
आंध्र,960.338235295083,0.4828588962554931
आंवला,686.858064510777,0.6630789041519165
आइएगा,1160.04642856741,0.4306391477584839
आइना,670.355882364928,0.4407944679260254
आईटीआई,1201.30384612895,0.6958020925521851
आईना,698.78571424745,0.4511086940765381
आईने,651.503333336031,0.3741987943649292
आईबी,979.026315778426,0.5895315408706665
आऊंगी,717.182857159973,0.3333479762077331
